Time,CPU (Tctl/Tdie) [°C]
11:26:34.242,52.0
11:26:36.240,53.1
11:26:38.242,53.4
11:26:40.246,53.2
11:26:42.251,61.4
11:26:44.244,63.5
11:26:46.251,64.2
11:26:48.245,62.4
11:26:50.258,60.2
11:26:52.254,62.9
11:26:54.252,63.9
11:26:56.244,64.1
11:26:58.299,64.1
11:27:0.495,65.6
11:27:2.447,66.2
11:27:4.244,66.0
11:27:6.246,65.5
11:27:8.619,63.6
11:27:10.605,61.4
11:27:12.609,62.2
11:27:14.602,62.9
11:27:16.609,63.4
11:27:18.606,63.8
11:27:20.604,63.8
11:27:22.603,63.4
11:27:24.617,63.9
11:27:26.605,65.5
11:27:28.606,68.5
11:27:30.604,81.9
11:27:32.606,85.8
11:27:34.603,85.5
11:27:36.602,84.1
11:27:38.604,83.6
11:27:40.606,83.5
11:27:42.602,83.8
11:27:44.606,83.5
11:27:46.600,82.8
11:27:48.606,82.2
11:27:50.602,83.8
11:27:52.605,83.4
11:27:54.602,84.1
11:27:56.605,84.4
11:27:58.599,81.4
11:28:0.607,80.5
11:28:2.602,80.1
11:28:4.606,81.9
11:28:6.603,83.8
11:28:8.605,86.8
11:28:10.604,88.4
11:28:12.604,86.8
11:28:14.603,85.5
11:28:16.606,82.6
11:28:18.604,83.4
11:28:20.604,85.9
11:28:22.602,83.6
11:28:24.602,83.2
11:28:26.602,84.1
11:28:28.600,84.4
11:28:30.601,84.4
11:28:32.607,84.0
11:28:34.601,85.0
11:28:36.603,84.9
11:28:38.603,86.9
11:28:40.600,88.1
11:28:42.600,84.6
11:28:44.606,81.8
11:28:46.605,80.9
11:28:48.602,82.0
11:28:50.604,81.2
11:28:52.602,81.1
11:28:54.603,80.9
11:28:56.601,82.5
11:28:58.603,81.9
11:29:0.609,87.2
11:29:2.605,86.9
11:29:4.601,85.1
11:29:6.604,81.9
11:29:8.602,80.8
11:29:10.604,80.9
11:29:12.601,80.4
11:29:14.604,80.8
11:29:16.908,83.1
11:29:18.604,86.2
11:29:20.601,86.6
11:29:22.604,88.1
11:29:24.600,88.1
11:29:26.604,90.8
11:29:28.604,85.5
11:29:30.827,83.6
11:29:32.611,86.0
11:29:34.605,83.1
11:29:36.606,79.6
11:29:38.606,80.9
11:29:40.633,83.0
11:29:42.608,74.1
11:29:44.600,68.4
11:29:46.607,63.9
11:29:48.603,62.0
11:29:50.600,62.0
11:29:52.597,58.8
11:29:54.598,57.4
11:29:56.597,56.5
11:29:58.601,56.2
11:30:0.606,55.6
11:30:2.601,55.4
11:30:4.597,55.4
11:30:6.601,55.6
11:30:8.599,55.0
11:30:10.602,55.0
11:30:12.597,55.0
11:30:14.598,54.8
11:30:16.600,54.6
11:30:18.601,54.5
11:30:20.598,54.2
11:30:22.602,54.1
11:30:24.598,54.2
11:30:26.599,54.1
11:30:28.596,54.6
11:30:30.603,54.5
11:30:32.598,54.6
11:30:34.601,54.4
11:30:36.599,54.0
11:30:38.601,53.5
11:30:40.599,53.4
11:30:42.603,53.8
11:30:44.600,53.4
11:30:46.601,52.9
11:30:48.598,52.6
11:30:50.601,52.5
11:30:52.598,52.5
11:30:54.602,53.0
11:30:57.091,52.9
11:30:59.089,53.2
11:31:1.084,53.2
11:31:3.088,53.2
11:31:5.085,53.2
11:31:7.081,52.6
11:31:9.087,52.2
11:31:11.089,52.0
11:31:13.086,51.9
11:31:15.082,51.8
11:31:17.084,51.8
11:31:19.085,51.8
11:31:21.086,51.9
11:31:23.081,52.2
11:31:25.085,51.9
11:31:27.081,51.6
11:31:29.082,51.5
11:31:31.087,51.4
11:31:33.084,51.5
11:31:35.088,51.4
11:31:37.085,51.2
11:31:39.083,51.2
11:31:41.096,51.1
11:31:43.097,51.2
11:31:45.103,52.6
11:31:47.100,52.2
11:31:49.103,51.8
11:31:51.101,51.9
11:31:53.103,51.9
11:31:55.100,52.0
11:31:57.103,52.0
11:31:59.100,51.5
11:32:1.099,51.1
11:32:3.099,50.9
11:32:5.099,50.9
11:32:7.100,50.9
11:32:9.098,50.6
11:32:11.100,50.5
11:32:13.097,50.5
11:32:15.097,50.6
11:32:17.101,50.5
11:32:19.099,50.4
11:32:21.097,50.4
11:32:23.100,50.4
11:32:25.097,50.2
11:32:27.101,50.1
11:32:29.097,50.2
11:32:31.100,50.2
11:32:33.098,50.1
11:32:35.101,50.2
11:32:37.099,50.2
11:32:39.100,50.1
11:32:41.099,50.0
11:32:43.100,50.0
11:32:45.098,50.0
11:32:47.100,49.9
11:32:49.100,49.8
11:32:51.099,49.8
11:32:53.097,49.8
11:32:55.100,49.8
11:32:57.096,49.8
11:32:59.100,49.8
11:33:1.098,49.8
11:33:3.101,49.8
11:33:5.098,49.6
11:33:7.101,49.5
11:33:9.097,49.5
